task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Run-1,2025-04-09T10:32:24,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.2042241096496582,1.5877101650022904e-06,7.777284916187077e-06,42.5,37.100613280476075,19.122615337371826,2.4154797196388244e-06,2.0791683299995617e-06,1.066435579789129e-06,5.561083629427515e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-2,2025-04-09T10:32:24,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.20221638679504395,1.5783100131187134e-06,7.822726624287729e-06,42.5,37.38563430074888,19.122615337371826,2.394144568178389e-06,2.0780572180007124e-06,1.0559570488456419e-06,5.528158835024743e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-3,2025-04-09T10:32:24,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.20344042778015137,1.5027672290005902e-06,7.389868371450151e-06,42.5,31.769953996132674,19.122615337371826,2.4164676666259767e-06,1.7822236479995111e-06,1.0648727918770838e-06,5.263564106502572e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-4,2025-04-09T10:32:24,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.20975446701049805,1.5006712791715229e-06,7.15532960263628e-06,42.5,28.83089822758985,19.122615337371826,2.4897333648469715e-06,1.6675013340002563e-06,1.0989881733800647e-06,5.256222872227291e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-5,2025-04-09T10:32:25,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.2121896743774414,1.5112526524045006e-06,7.122186104955248e-06,42.5,28.506672088382274,19.122615337371826,2.51715663406584e-06,1.6658346660000309e-06,1.110293690147349e-06,5.293284990213223e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-6,2025-04-09T10:32:25,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.22777700424194336,1.5850632690645303e-06,6.9579421737879095e-06,42.5,26.730961560929504,19.122615337371826,2.7033410138554046e-06,1.6644457760000599e-06,1.1840258718647575e-06,5.55181266172022e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-7,2025-04-09T10:32:25,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.20139718055725098,1.458082511591247e-06,7.244260944554005e-06,42.5,30.056801578589265,19.122615337371826,2.389013436105517e-06,1.6655568879997765e-06,1.0524819353686142e-06,5.107052259473906e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-8,2025-04-09T10:32:25,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.2083139419555664,1.4891797091850928e-06,7.167990703242051e-06,42.5,29.112900683600383,19.122615337371826,2.4642043643527573e-06,1.665001332000135e-06,1.0867670199349772e-06,5.215972716287864e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-9,2025-04-09T10:32:25,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.19678735733032227,1.1960330113780669e-06,6.100269404878818e-06,42.5,15.206313658016827,19.122615337371826,2.3362413048744206e-06,8.238895480004206e-07,1.0290717777072213e-06,4.189202630582056e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-10,2025-04-09T10:32:26,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.21208977699279785,1.5110406844723244e-06,7.127449786095454e-06,42.5,28.344181854934494,19.122615337371826,2.5227127803696534e-06,1.6580568820002799e-06,1.1117728929684742e-06,5.2925425553384075e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-11,2025-04-09T10:32:26,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.20997309684753418,1.5000922035600362e-06,7.1472141750119264e-06,42.5,28.801491918870003,19.122615337371826,2.4902456336551242e-06,1.6650013319997013e-06,1.0989476472753758e-06,5.254194612930203e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-12,2025-04-09T10:32:26,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.19758391380310059,1.4366705905165313e-06,7.285618671439064e-06,42.5,30.663338242621922,19.122615337371826,2.3392473657925926e-06,1.6633346640003432e-06,1.0294732394317895e-06,5.032055269224732e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-13,2025-04-09T10:32:26,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.2159128189086914,1.5256323088971258e-06,7.075629358143818e-06,42.5,28.1124518278478,19.122615337371826,2.555925812986162e-06,1.66250132999958e-06,1.1252237604027003e-06,5.3436509033884456e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-14,2025-04-09T10:32:26,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.19815325736999512,1.4450021688297018e-06,7.2939874173587764e-06,42.5,30.426837907541987,19.122615337371826,2.358280122280122e-06,1.6641679979998054e-06,1.038789177747029e-06,5.061237298026956e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-15,2025-04-09T10:32:27,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.21035003662109375,1.500342737570681e-06,7.142047253804777e-06,42.5,28.7420086725647,19.122615337371826,2.492905490928226e-06,1.6630568860005225e-06,1.099109751694128e-06,5.2550721286228746e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-16,2025-04-09T10:32:27,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.20726633071899414,1.483455611783228e-06,7.180411832353575e-06,42.5,29.196910226586354,19.122615337371826,2.4513976441489324e-06,1.662779108000268e-06,1.0817468487167058e-06,5.195923600865906e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-17,2025-04-09T10:32:27,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.206010103225708,1.4762992508036388e-06,7.194082881006589e-06,42.5,29.497430641207682,19.122615337371826,2.4324521422386204e-06,1.6655568879997765e-06,1.0728488358560652e-06,5.170857866094452e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-18,2025-04-09T10:32:27,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.22305560111999512,1.8080341767425792e-06,8.12198105551509e-06,42.5,40.355499612968465,19.122615337371826,2.6630153258641584e-06,2.4947242179998268e-06,1.1750468067947392e-06,6.332786350658721e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-19,2025-04-09T10:32:28,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.2006824016571045,1.4528426795478747e-06,7.245115593193411e-06,42.5,30.15317650587016,19.122615337371826,2.3772312535179976e-06,1.6636124419997303e-06,1.0478556272302801e-06,5.088699322748015e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-20,2025-04-09T10:32:28,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.21519088745117188,1.5198342780167605e-06,7.081674268961675e-06,42.5,28.247639943303657,19.122615337371826,2.5424041681819514e-06,1.662779108000268e-06,1.1181595537792075e-06,5.323342829961417e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-21,2025-04-09T10:32:28,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.20814275741577148,1.4871129954407167e-06,7.14746988302489e-06,42.5,29.106398164224128,19.122615337371826,2.46122082074483e-06,1.6625013300000137e-06,1.0850117330256607e-06,5.208733883770508e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-22,2025-04-09T10:32:28,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.20174026489257812,1.4594850856987558e-06,7.258202136707913e-06,42.5,30.01988761641353,19.122615337371826,2.394547065099077e-06,1.6644457759996262e-06,1.0529720479471894e-06,5.111964889045886e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-23,2025-04-09T10:32:28,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.2248706817626953,1.5711244801813328e-06,7.0023522885647175e-06,42.5,26.920615547283894,19.122615337371826,2.6624298757976943e-06,1.665001332000135e-06,1.1755597153072018e-06,5.5029909231050345e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-24,2025-04-09T10:32:29,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.20241522789001465,1.4597206463530242e-06,7.211532947872204e-06,42.5,29.939303005304108,19.122615337371826,2.3940263522995856e-06,1.6633346639999096e-06,1.0554289430439218e-06,5.11278995934341e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-25,2025-04-09T10:32:29,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.21137595176696777,1.5041927615288232e-06,7.119038836194797e-06,42.5,28.71323661458897,19.122615337371826,2.5013128916422512e-06,1.665001332000135e-06,1.1022429261628492e-06,5.2685571498052456e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-26,2025-04-09T10:32:29,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.20222973823547363,1.4603591896994575e-06,7.2244820246240355e-06,42.5,29.910956659940876,19.122615337371826,2.3952788776821572e-06,1.6633346639999096e-06,1.0564129675233858e-06,5.115026509205456e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-27,2025-04-09T10:32:29,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.19951343536376953,1.4477213407448685e-06,7.2589142684659975e-06,42.5,30.281543820109796,19.122615337371826,2.3645596371756647e-06,1.6633346640003432e-06,1.042867117031296e-06,5.070761418207297e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-28,2025-04-09T10:32:29,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.20693516731262207,1.7203844596164224e-06,8.330455335803518e-06,42.5,43.92796687236459,19.122615337371826,2.448616756333248e-06,2.497501997999769e-06,1.0796673529698834e-06,6.0257861073028936e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-29,2025-04-09T10:32:30,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.19646525382995605,1.4345233774350463e-06,7.306958313885592e-06,42.5,30.77992092246862,19.122615337371826,2.332590685950379e-06,1.6647235540003143e-06,1.0272202412992738e-06,5.024534481249987e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-30,2025-04-09T10:32:30,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.20747661590576172,1.4898543168309001e-06,7.186321647855641e-06,42.5,29.090841626636642,19.122615337371826,2.4650572074784167e-06,1.665279109999522e-06,1.0879992668056589e-06,5.218335584283591e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-31,2025-04-09T10:32:30,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.21307992935180664,1.5104299112249166e-06,7.101297269053022e-06,42.5,28.699381260887794,19.122615337371826,2.521696686744697e-06,1.6655568880006438e-06,1.1031496977552491e-06,5.29040327250057e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
Run-32,2025-04-09T10:32:30,energy_emissions_colab,8bf2183a-5368-4d3f-9f3d-06ca7300ce6b,0.2102208137512207,1.4999735649310182e-06,7.138045845370599e-06,42.5,28.785672465255676,19.122615337371826,2.490223116344883e-06,1.664723553999447e-06,1.0988324011651694e-06,5.2537790715094924e-06,United States,USA,south carolina,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.11.11,2.4.2,8,Intel(R) Xeon(R) CPU @ 2.30GHz,1,1 x Tesla T4,-79.9746,32.8608,50.9936408996582,machine,N
